predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
2.46551,2.434331,2.446612,1.280802,0.504509
2.452994,2.421972,2.434204,1.28089,0.5050556
2.440542,2.409674,2.421889,1.280986,0.5069208
2.428151,2.397438,2.409536,1.281089,0.5046152
2.415823,2.385263,2.397526,1.281181,0.5141177
2.403556,2.373149,2.385139,1.281281,0.5052589
2.39135,2.392678,2.373196,0.05549234,0.8142198
2.379206,2.380509,2.361325,0.05475444,0.8058728
2.382913,2.368401,2.380349,0.6127467,0.5044699
2.386594,2.356354,2.368433,1.283341,0.5126545
2.374455,2.344366,2.356562,1.283456,0.5202286
2.362377,2.332439,2.344165,1.283569,0.5027212
2.35036,2.320571,2.332138,1.283691,0.4984599
2.338403,2.308763,2.320866,1.283803,0.524234
2.326505,2.318143,2.308796,0.3607324,0.4032193
2.314667,2.306301,2.296908,0.3627604,0.4072642
2.313453,2.294518,2.306467,0.8252367,0.5207657
2.312222,2.282794,2.294529,1.289133,0.5140823
2.300409,2.271128,124.6599,1.289267,5388.896
2.288656,2.259521,2.271248,1.289421,0.5189974
2.276961,2.247972,2.259653,1.289566,0.5195956
2.265325,2.236481,2.247805,1.28971,0.5063173
2.253747,2.25095,2.236372,0.1242643,0.6476423
2.242227,2.239418,2.224944,0.1254259,0.6463142
2.243716,2.227944,2.239244,0.7079006,0.507198
2.245184,2.216527,2.227811,1.292866,0.509079
2.233681,2.205168,2.216311,1.293028,0.5053333
2.222236,2.193865,2.205333,1.293202,0.5227275
2.210848,2.182618,2.193939,1.293377,0.5186703
2.199516,2.182024,2.182444,0.8016325,0.01924154
2.188241,2.170792,2.171539,0.8038254,0.03438784
2.182322,2.159616,2.170523,1.051381,0.5050737
2.176409,2.148495,2.159646,1.299193,0.5189846
2.165204,2.137431,2.148634,1.299393,0.5241363
2.154056,2.126421,2.137661,1.299595,0.5285767
2.142964,2.115467,2.126222,1.299799,0.5084239
2.131927,2.104567,2.115261,1.299994,0.5081003
2.120944,2.093722,2.10477,1.300191,0.5276765
2.110018,2.082931,2.093736,1.300391,0.518712
2.099145,2.072194,2.082915,1.300594,0.5173382
2.088327,2.061511,2.072273,1.3008,0.52202
2.077563,2.050881,2.061328,1.301009,0.5093688
2.066853,2.040304,2.05091,1.301221,0.5198152
2.056197,2.029781,2.040442,1.301425,0.5252588
2.045593,2.01931,2.029901,1.30162,0.5245231
2.035043,2.008891,2.019349,1.301832,0.5206092
2.024546,2.033245,2.008876,0.4278705,1.198563
2.014101,2.022729,1.998447,0.4265471,1.200451
2.021069,2.012265,2.022698,0.4375211,0.5184922
2.027988,2.001853,2.012314,1.305527,0.5225824
2.017497,1.991493,2.001745,1.305752,0.5147955
2.00706,1.981185,1.991306,1.305993,0.510813
1.996674,1.970929,1.98123,1.30622,0.5226587
1.98634,1.960724,47.06484,1.306453,2300.381
1.976058,1.95057,1.960754,1.30669,0.5221124
1.965827,1.940467,1.950775,1.306926,0.5312076
1.955648,1.930414,1.940216,1.307161,0.5077658
1.945519,1.920412,1.930305,1.307402,0.5151592
1.935441,1.910459,1.9202,1.307642,0.5098872
1.925414,1.900557,1.910652,1.307882,0.5311978
1.915436,1.906482,1.900758,0.4696948,0.3002177
1.905509,1.896599,1.890585,0.4697852,0.3170557
1.90352,1.886765,1.896364,0.8879954,0.5087528
1.901541,1.876981,1.886867,1.30847,0.5267046
1.891683,1.867246,1.876865,1.308716,0.5151564
1.881874,1.857559,1.867306,1.308963,0.5246903
1.872114,1.847921,1.857741,1.30921,0.5313814
1.862403,1.838331,125.9397,1.309464,6750.765
1.852741,1.828789,1.838224,1.309713,0.5159379
1.843127,1.819295,1.828659,1.309963,0.5147186
1.833561,1.809848,1.819128,1.31022,0.512755
1.824043,1.797954,1.810039,1.451029,0.6721773
1.814572,1.788057,1.800583,1.482875,0.7005121
1.803902,1.778211,1.788145,1.444776,0.5586755
1.793006,1.768413,1.778097,1.390709,0.5476078
1.783135,1.758664,1.768641,1.391429,0.5672707
1.773313,1.748964,1.758501,1.392153,0.5452522
1.763539,1.739313,1.749096,1.39288,0.562472
1.753815,1.72971,1.739502,1.393604,0.5661117
1.744139,1.720155,1.729454,1.394332,0.5406002
1.734512,1.710647,1.719969,1.395064,0.5449078
1.724933,1.706905,1.710403,1.056161,0.2049438
1.715402,1.697981,1.701366,1.025984,0.1994005
1.708777,1.689101,1.697977,1.164886,0.5254918
1.702443,1.680265,1.688986,1.319928,0.5190107
1.693541,1.671474,1.680408,1.320238,0.5345352
1.684684,1.662727,1.671326,1.320544,0.5171723
1.67587,1.654023,1.662708,1.320848,0.5250974
1.667101,1.645363,1.654125,1.321164,0.5325415
1.658375,1.636746,1.645611,1.321476,0.5416161
1.649693,1.618748,1.636942,1.911659,1.123908
1.641055,1.610232,1.628422,1.914196,1.129645
1.627748,1.601758,1.610256,1.622578,0.5305541
1.614491,1.593326,1.601661,1.328302,0.5231266
1.605995,1.584937,1.593159,1.328654,0.5187578
1.597542,1.576589,1.584978,1.329012,0.5320675
1.589132,1.568284,1.576401,1.329377,0.5175773
1.580763,1.560019,1.568317,1.329733,0.5319113
1.572437,1.551796,1.56024,1.330095,0.5441097
1.564152,1.536898,1.551645,1.773335,0.9595785
1.555908,1.528767,1.543493,1.775406,0.9632942
1.544347,1.520676,1.528769,1.556628,0.5321661
1.532832,1.512626,1.520639,1.335829,0.5297415
1.524722,1.504617,1.512516,1.336221,0.5250031
1.516652,1.496647,1.504456,1.336622,0.5217373
1.508622,1.488717,1.496734,1.337031,0.5385296
1.500632,1.480827,1.488737,1.337433,0.5341699
1.492682,1.472976,1.481033,1.337836,0.5469714
1.484773,1.455433,1.473007,2.015856,1.207489
1.476902,1.447631,1.465275,2.022027,1.218814
1.464205,1.439867,1.447643,1.690287,0.5400348
1.451532,1.432143,1.440065,1.353889,0.5532109
1.443749,1.424457,1.431919,1.354391,0.5238758
1.436005,1.416809,1.424422,1.354895,0.537305
1.4283,1.4092,1.416626,1.355401,0.5269674
1.420633,1.401628,1.408968,1.355902,0.5236138
1.413005,1.376309,1.401562,2.666259,1.834865
1.405414,1.368894,1.394117,2.6679,1.842584
1.388969,1.361516,1.369068,2.016378,0.5547217
1.372602,1.354175,1.361353,1.360756,0.5300784
1.365205,1.34687,1.354304,1.361294,0.5519028
1.357845,1.339602,1.347008,1.361837,0.552797
1.350523,1.332371,1.339458,1.362384,0.5319711
1.343236,1.325175,1.3323,1.362926,0.5376572
1.335987,1.299435,1.325033,2.812921,1.969937
1.328773,1.292355,1.318035,2.817991,1.987103
1.312305,1.28531,1.292206,2.100257,0.5364699
1.295895,1.278301,1.285105,1.376338,0.5322401
1.288833,1.271327,1.278418,1.376958,0.5577203
1.281806,1.264388,1.27119,1.377595,0.5380121
1.274814,1.257483,1.264595,1.378239,0.5655573
1.267858,1.250613,1.257425,1.37888,0.5446909
1.260936,1.224384,1.250778,2.985305,2.155716
1.254048,1.217684,1.243534,2.986391,2.122908
1.237499,1.211017,1.217882,2.186776,0.5669304
1.221034,1.204383,1.211195,1.382547,0.5656286
1.21435,1.197782,1.20445,1.383218,0.556713
1.2077,1.191215,125.5047,1.3839,10435.86
1.201083,1.18468,1.191116,1.38458,0.5432582
