predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error
2.202823,2.205023,2.20395,0.09976715,0.04865636
2.203835,2.206023,2.204857,0.09913832,0.05282766
2.20483,2.207022,0.148359,0.09934186,93.27786
2.205815,2.208022,2.206811,0.09996634,0.05487459
2.206807,2.209022,2.208258,0.1002988,0.03460218
2.207819,2.210022,2.209174,0.09967091,0.03838393
2.208832,2.211022,2.210178,0.09907589,0.03818325
2.20984,2.212022,2.211102,0.09864309,0.04158272
2.210858,2.213022,2.212018,0.09780128,0.04535618
2.211871,2.214022,2.213039,0.09713253,0.04439883
2.212879,2.215022,2.213959,0.09672272,0.04798463
2.213883,2.216022,2.214875,0.09650693,0.0517501
2.214885,2.217022,2.21582,0.09635587,0.05418942
2.215888,2.218022,2.216895,0.09620494,0.05077901
2.216891,2.219022,2.218251,0.09602191,0.0347471
2.217888,2.220021,2.219158,0.09608606,0.03888763
2.218878,2.221021,2.220183,0.09649365,0.03774298
2.219875,2.222021,2.221087,0.09657899,0.04207157
2.22088,2.223021,2.222044,0.09633177,0.04395097
2.221882,2.224021,2.222986,0.09618126,0.04656836
2.222886,2.225021,2.224023,0.0959773,0.04486513
2.223889,2.226021,2.224922,0.09578424,0.04936482
2.224888,2.227021,2.225838,0.09577335,0.05312177
2.225888,2.228021,2.226846,0.09573036,0.0527234
2.226891,2.229021,2.227779,0.09555907,0.05571605
2.227888,2.230021,2.229239,0.09564452,0.03506752
2.228881,2.231021,2.230197,0.09592225,0.03693263
2.229878,2.232021,2.231104,0.09598609,0.0410606
2.230885,2.233021,2.232075,0.0956228,0.04235548
2.231888,2.23402,2.232991,0.09544126,0.0461038
2.232882,2.23502,2.233965,0.09566525,0.04721392
2.233878,2.23602,2.234986,0.09582506,0.04626515
2.234881,2.23702,2.235919,0.0956117,0.04923933
2.235891,2.23802,2.236772,0.09514286,0.05576899
2.236883,2.23902,2.237809,0.09544111,0.05408294
2.237879,2.24002,2.239223,0.09560074,0.03558153
2.238888,2.24102,0.06542734,0.0951538,97.08046
2.239888,2.24202,2.241064,0.09507947,0.04265337
2.240885,2.24302,2.242088,0.09519652,0.0415289
2.241885,2.24402,2.24305,0.0951116,0.04319971
2.242885,2.24502,2.243987,0.09506924,0.04599474
2.243886,2.24602,2.245016,0.09500568,0.04467921
2.244883,2.24702,2.245878,0.09508012,0.05081338
2.245876,2.248019,2.246852,0.09534539,0.05191498
2.24687,2.249019,2.247823,0.09558924,0.05320643
2.247851,2.250019,2.249245,0.09636267,0.03441675
2.248845,2.251019,2.250174,0.09659524,0.03756835
2.249848,2.252019,2.251102,0.09642531,0.04072773
2.250844,2.253019,2.252152,0.09652008,0.03848739
2.251844,2.254019,2.253051,0.09650899,0.04293402
2.252844,2.255019,2.253984,0.0964662,0.04589652
2.253841,2.256019,2.254984,0.09653969,0.04588674
2.254843,2.257019,2.255891,0.09642298,0.04995446
2.255839,2.258019,2.256879,0.09651755,0.05049195
2.256835,2.259019,2.257824,0.09667535,0.05288648
2.257843,2.260019,2.259271,0.09624225,0.03307239
2.258849,2.261019,2.260183,0.0959677,0.03695932
2.259859,2.262018,2.261166,0.09546151,0.03769133
2.26087,2.263018,2.262145,0.09491363,0.03860179
2.261877,2.264018,2.263027,0.09457686,0.04377641
2.262888,2.265018,2.264014,0.09406143,0.0443255
2.263891,2.266018,2.265002,0.09387262,0.04486358
2.264894,2.267018,2.265922,0.09371553,0.04836693
2.265902,2.268018,2.266922,0.09330628,0.04834561
2.266909,2.269018,2.267833,0.09294994,0.0522121
2.267915,2.270018,2.2688,0.09264642,0.05367001
2.268918,2.271018,2.270268,0.09245865,0.0330277
2.269912,2.272018,2.271071,0.09268031,0.04168095
2.270904,2.273018,2.27215,0.09299617,0.03818024
2.271898,2.274018,0.0512159,0.0932069,97.74778
2.272888,2.275017,2.274099,0.09358513,0.04037889
2.273893,2.276017,2.274973,0.0933345,0.04588161
2.274898,2.277017,2.275906,0.09306316,0.04881418
2.275899,2.278017,2.276872,0.09298044,0.05026847
2.276911,2.279017,2.277864,0.09240612,0.05062303
2.277914,2.280017,2.278805,0.09222966,0.05317322
2.278913,2.281017,2.280248,0.09224148,0.03372955
2.279912,2.282017,2.281206,0.09226375,0.03555357
2.280905,2.283017,2.282147,0.09248441,0.03811745
2.281903,2.284017,2.283075,0.09256919,0.04122189
2.282907,2.285017,2.284046,0.09233044,0.04249767
2.283921,2.286017,2.285016,0.09168515,0.04377233
2.284934,2.287017,2.285982,0.09106126,0.0452231
2.285936,2.288017,2.286881,0.09093811,0.04961113
2.286936,2.289016,2.287885,0.0909088,0.04941239
2.287942,2.290016,2.28878,0.09056718,0.05397175
2.288948,2.291016,2.290291,0.0902883,0.03167791
2.289953,2.292016,2.291169,0.08999925,0.03696918
2.290952,2.293016,2.292131,0.09003279,0.03860628
2.291953,2.294016,2.293122,0.08995198,0.0389636
2.292959,2.295016,2.294043,0.0896323,0.04241639
2.293958,2.296016,2.295092,0.08964518,0.04022766
2.294959,2.297016,2.295925,0.08956464,0.04750693
2.295945,2.298016,2.296941,0.09011704,0.04676002
2.296935,2.299016,2.297908,0.09050303,0.04820191
2.297943,2.300016,2.298811,0.0901216,0.05237917
2.298949,2.301016,2.299806,0.08981305,0.05255327
2.29995,2.302016,2.301212,0.08972225,0.03491328
2.30095,2.303015,2.302199,0.08967294,0.0354468
2.301954,2.304015,2.303094,0.08948915,0.03999486
2.302956,2.305015,2.304069,0.08932621,0.04107392
2.303955,2.306015,2.305048,0.08934951,0.04196594
2.304947,2.307015,0.1406954,0.08966216,93.90141
2.305948,2.308015,2.306921,0.08956134,0.04739416
2.306951,2.309015,2.307904,0.08939864,0.04810675
2.307944,2.310015,2.30882,0.08964893,0.05171895
2.30894,2.311015,2.309795,0.08979584,0.05279014
2.309943,2.312015,2.311259,0.08960232,0.03268953
2.310941,2.313015,2.312233,0.08964605,0.03377833
2.31193,2.314015,2.313099,0.09007096,0.03956446
2.312928,2.315015,2.314082,0.09012474,0.04027858
2.313926,2.316015,2.315078,0.09019907,0.04044649
2.314916,2.317014,2.315981,0.09057175,0.04459644
2.315908,2.318014,2.316935,0.09088238,0.04657259
2.316909,2.319014,2.317947,0.09079178,0.04601789
2.317907,2.320014,2.318809,0.09082459,0.05195849
2.318904,2.321014,2.31988,0.090919,0.04888527
2.319899,2.322014,2.321181,0.09107493,0.03589605
2.320885,2.323014,2.322209,0.091631,0.03463874
2.321886,2.324014,2.323155,0.0915608,0.03697313
2.322898,2.325014,2.324125,0.09101895,0.03822878
2.323915,2.326014,2.324999,0.09023158,0.04362439
2.324923,2.327014,2.326049,0.08984444,0.04144381
2.325919,2.328014,2.326927,0.0899902,0.04665931
2.326919,2.329014,2.327957,0.08994132,0.04538014
2.32792,2.330014,2.328826,0.0898618,0.05094761
2.328915,2.331013,2.329843,0.09000735,0.05020978
2.329913,2.332013,2.330805,0.09005055,0.05181383
2.330911,2.333013,2.332164,0.09012437,0.03639107
2.331913,2.334013,2.333206,0.08996318,0.03458786
2.332916,2.335013,2.334118,0.08982255,0.03834076
2.33391,2.336013,2.335076,0.09002905,0.04013085
2.334913,2.337013,2.335992,0.0898579,0.04370473
2.335916,2.338013,2.336996,0.0896971,0.04351268
2.336919,2.339013,2.337903,0.08952624,0.04744901
2.337926,2.340013,2.33889,0.08916195,0.04796874
2.338929,2.341013,0.1428271,0.08899147,93.89892
2.339934,2.342013,2.340798,0.08873969,0.05187765
2.340947,2.343013,2.342191,0.08814216,0.03508591
2.341955,2.344012,2.34314,0.0877689,0.03722728
2.342954,2.345012,2.344236,0.08778231,0.03311408
2.343955,2.346012,2.345047,0.08769408,0.04113868
2.344953,2.347012,2.346014,0.08772783,0.04255348
2.345943,2.348012,2.347043,0.08810678,0.04129656
2.34694,2.349012,2.347934,0.08823168,0.04591741
2.347939,2.350012,2.348866,0.08820427,0.04875888
2.348943,2.351012,2.349862,0.08801465,0.04892069
2.349946,2.352012,2.35082,0.08784544,0.0506941
2.350954,2.353012,2.352208,0.08747374,0.03415661
2.351961,2.354012,2.353225,0.08712261,0.03343313
2.352966,2.355012,2.354045,0.08687302,0.04106246
2.353972,2.356012,2.355203,0.08657304,0.03431551
2.354973,2.357012,2.355998,0.08648574,0.04301022
2.355975,2.358011,2.357027,0.08637829,0.04175844
2.356973,2.359011,2.357976,0.08639221,0.04387325
2.357978,2.360011,2.358922,0.08616365,0.04616812
2.358985,2.361011,2.35985,0.08580402,0.04917802
2.359986,2.362011,2.360804,0.08573741,0.05111541
2.360981,2.363011,2.361825,0.0859332,0.05021598
2.361974,2.364011,2.363196,0.08615907,0.03446161
2.362966,2.365011,2.364112,0.0864654,0.03799558
2.36396,2.366011,2.36515,0.08669085,0.03638738
2.364952,2.367011,2.366045,0.0869967,0.04080394
2.365936,2.368011,2.366994,0.08762447,0.04292119
2.366923,2.369011,2.367986,0.08811082,0.04326538
2.367933,2.370011,2.368935,0.08765113,0.04536974
2.368943,2.371011,2.369931,0.08720189,0.04554167
2.369943,2.37201,2.370855,0.08714502,0.04870874
2.370945,2.37301,2.371742,0.08704802,0.05346059
2.371942,2.37401,0.1559658,0.08713187,93.43028
2.372939,2.37501,2.374134,0.08721565,0.03688194
2.373934,2.37601,2.375122,0.08737963,0.03739824
2.37493,2.37701,2.376113,0.08752342,0.0377436
2.375931,2.37801,2.376987,0.08744651,0.04302144
2.37693,2.37901,2.378008,0.08741978,0.04213146
2.377926,2.38001,2.378953,0.08757339,0.04440778
2.378927,2.38101,2.379924,0.08749656,0.04562077
2.379929,2.38201,2.380844,0.08733971,0.04895468
2.380932,2.38301,2.381764,0.08718301,0.05228579
2.38194,2.38401,2.383253,0.08682642,0.03174235
2.382947,2.38501,2.384161,0.08649012,0.0355977
2.38395,2.386009,2.385169,0.08632397,0.03523305
2.384949,2.387009,2.386051,0.08631778,0.04014246
2.38594,2.388009,2.387059,0.08665103,0.03978619
2.386935,2.389009,2.387963,0.08681437,0.04381136
2.387935,2.390009,2.389034,0.08677804,0.0408203
2.388925,2.391009,2.389874,0.0871805,0.04746416
2.389923,2.392009,2.390916,0.08721382,0.04570004
2.390938,2.393009,2.391782,0.08654971,0.05129019
2.391952,2.394009,2.393237,0.08593594,0.03223718
2.39296,2.395009,2.394212,0.08553173,0.03327893
2.393965,2.396009,2.39514,0.08529703,0.03624029
2.394961,2.397009,2.396111,0.08544048,0.03745854
2.395952,2.398009,2.397081,0.08574289,0.03867577
2.396953,2.399009,2.398014,0.08568728,0.04145228
2.397961,2.400008,2.398913,0.08530388,0.04563713
2.398972,2.401008,2.399925,0.08480164,0.04510177
2.399977,2.402008,2.400908,0.08457775,0.04578772
2.40098,2.403008,2.401854,0.08441358,0.04804073
2.401983,2.404008,2.402736,0.08424954,0.0529101
2.402989,2.405008,2.404284,0.08395676,0.03011697
2.403995,2.406008,2.405137,0.08367414,0.03619868
2.404984,2.407008,0.1550944,0.08409502,93.55655
2.40597,2.408008,2.407044,0.08461455,0.04001023
