timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
23.30428,2.06971,0.00467996,0.02114701,0.01173207,0.01558615,-0.008839499
23.34776,0.006962866,-0.01518918,0.005633654,-0.004810499,0.007125067,0.009013381
23.34776,2.878646,-0.006843822,-0.007658103,-0.00783883,-0.005822791,-0.002908478
23.39124,0.00146792,0.03185086,0.01203624,-0.0008745948,0.004418056,0.001091486
23.39124,2.725915,0.02677267,0.01520379,-0.001110809,0.0002248434,0.001614613
23.43472,0.03464729,0.01299145,0.008755386,-0.004899143,0.000995324,-0.001982486
23.43472,3.870009,-0.03065725,-0.007610864,-0.007007565,-0.002184232,0.003504812
23.47819,-0.006567982,0.006267826,0.005099012,-0.001356047,-0.004344134,-0.00152676
23.47819,6.142204,-0.01504419,-0.001991423,-3.617557E-05,0.002957358,0.01051589
23.52167,-0.01124733,0.02409817,0.02005456,-0.002804569,0.007461258,0.009000065
23.52167,0.6853495,0.02109457,-0.001358838,-0.0008632841,0.001922701,-0.006520527
23.56515,-0.03531128,0.03717942,0.01464863,-0.008563758,-0.006619779,0.0001920919
23.56515,3.070379,0.02140436,0.000217045,0.00503794,0.01305299,-0.006268321
23.60863,0.04180595,0.004322528,-0.009543748,-0.001365932,-0.003078777,0.0003117216
23.60863,5.290284,-0.007865822,-0.003788464,-0.0004770887,-0.00288036,0.001454356
23.65211,-0.02083319,0.004438728,-0.02084566,-0.01254198,-0.007328087,0.001839607
23.65211,6.244295,-0.02980823,0.00128198,0.002728117,-0.006581668,-0.01123881
23.69558,-0.01496114,-0.0366748,-0.02861359,-0.01136647,5.936534E-06,-0.004755244
23.69558,3.955053,0.01478611,-0.04252234,-0.003916679,0.01191743,0.001356582
23.73906,-0.01180063,-0.03697732,0.03071113,-0.004242434,0.004321558,-0.0004644156
23.73906,2.526572,-0.001518136,-0.002751132,-0.004193673,0.0007085552,-0.006979093
23.78254,-0.01751323,0.00764661,0.01148845,0.003894044,0.002779062,-0.007689426
23.78254,3.311998,-0.01615537,0.00834149,-0.007334593,0.004041234,-0.00459356
23.82602,0.006794482,-0.01547784,-0.002515586,0.0006448672,-0.0006041075,0.002880739
23.82602,3.792341,0.02204216,0.0005864556,-0.0129417,-0.004118558,0.002834205
23.8695,0.01461682,-0.009081779,-0.0138968,0.0006501219,-0.003410644,-0.007912088
23.8695,3.768039,0.01775997,-0.001260685,0.00369385,0.005061373,0.0002515638
23.91297,0.004724937,0.0352771,-0.0140119,-0.003708109,-0.003302592,-0.00633845
23.91297,3.16254,-0.03519528,-0.003097625,-0.003284586,0.005621245,0.002834147
23.95645,-0.02949531,0.0228977,0.01129405,0.003911154,0.004541122,0.003388347
23.95645,4.549048,0.01737999,-0.02321907,-0.006124963,-0.008669887,-0.00476295
23.99993,0.0120483,0.03054661,-0.0232283,0.001093602,0.0005477774,0.004337912
23.99993,2.722391,-0.005938448,0.01098552,-0.00614281,0.002314358,0.001525404
24.04341,0.00193865,0.0002515317,0.0267221,-0.001737518,0.008827464,0.004523521
24.04341,5.782246,0.005933748,0.01672012,0.009364344,-0.0003017494,0.001942054
24.08689,0.03335598,-0.0003275073,0.04130249,-0.002345875,0.005761464,-0.005060784
24.08689,1.97815,0.01185313,0.03541946,0.003371062,0.002075851,0.004346152
24.13036,-0.01492234,0.03181399,-0.008235554,0.00134841,0.00125595,0.009284855
24.13036,2.296521,0.02056091,0.0225593,0.004499232,0.00406224,0.001743227
24.17384,0.03534795,-0.003621284,0.01353869,0.001454865,0.003177196,0.008668189
24.17384,1.958784,-0.02215935,-0.01006753,-0.004921038,-0.004138927,-0.00318197
24.21732,0.009567338,0.001878836,0.00336875,-0.003759156,-0.008424314,-0.00249034
24.21732,4.045837,0.00105607,-0.0330665,0.01074312,0.005289006,-0.007158432
