predicted_velocity,real_velocity,measured_velocity,predicted_error,measured_error,accepted_rays
4.391297,4.364072,4.374956,0.6238334,0.2493848,114
4.380327,4.353166,4.364009,0.6239505,0.2491004,114
4.369379,4.342286,4.353025,0.6239215,0.2473197,114
4.358457,4.615486,4.342113,5.568841,5.922965,114
4.347568,4.603929,4.331593,5.568309,5.915306,114
4.478728,4.592401,4.60385,2.475246,0.2493001,114
4.609539,4.580902,4.592431,0.6251479,0.2516851,114
4.597988,4.569431,4.58097,0.6249641,0.252536,114
4.586473,4.557989,4.569534,0.6249218,0.2532955,114
4.574992,4.546576,4.558111,0.6250013,0.2537111,114
4.563533,4.535191,4.546604,0.6249405,0.2516564,114
4.552101,4.523835,4.535227,0.6248229,0.2518349,114
4.540712,4.512507,4.523737,0.6250387,0.2488637,114
4.529347,4.501207,4.512268,0.6251565,0.2457277,114
4.517998,4.489936,4.501389,0.6250055,0.2550744,114
4.506678,4.478693,4.489844,0.6248603,0.2489859,114
4.495389,4.467477,4.478446,0.6247746,0.245523,114
4.48414,4.45629,4.467563,0.624952,0.2529555,114
4.472913,4.445131,4.456537,0.6249869,0.2565834,114
4.461707,4.434,4.444992,0.6248674,0.2479037,114
4.450544,4.422897,4.434167,0.6250885,0.2548222,114
4.4394,4.411821,4.42261,0.6251013,0.2445349,114
4.428277,4.400774,4.411747,0.6249586,0.2493637,114
4.417189,4.389753,4.400717,0.624985,0.2497616,114
4.406119,4.378761,4.389792,0.6247899,0.251924,114
4.395082,4.367795,4.378737,0.6247209,0.2505041,114
4.384081,4.356858,4.367862,0.6248336,0.2525667,114
4.373094,4.345947,4.356836,0.6246467,0.2505455,114
4.36214,4.335064,4.345927,0.624576,0.2505915,114
4.351226,4.324208,4.334935,0.6248207,0.2480669,114
4.340334,4.313379,4.324352,0.6249301,0.2544051,114
4.329463,4.302577,4.313531,0.624881,0.2546004,114
4.318611,4.291802,4.302468,0.6246499,0.2485067,114
4.307789,4.281054,4.292024,0.6244805,0.2562257,114
4.297001,4.270334,4.281082,0.624485,0.2516878,114
4.286234,4.25964,4.270541,0.6243401,0.255913,114
4.275498,4.481841,4.259544,4.603972,4.959932,114
4.264798,4.470592,4.249117,4.60327,4.954034,114
4.370555,4.459371,4.470859,1.991653,0.257614,114
4.476043,4.448177,4.459326,0.6264563,0.2506404,114
4.464827,4.437012,4.448393,0.626872,0.256494,114
4.453616,4.425875,4.43702,0.6267903,0.2518064,114
4.44243,4.414766,4.426011,0.6266286,0.2547083,114
4.431276,4.403684,4.414579,0.6265704,0.2474122,114
4.42015,4.39263,4.403566,0.626508,0.2489575,114
4.40905,4.381604,4.392603,0.6263978,0.2510314,114
4.397977,4.370605,4.381711,0.6262831,0.254107,114
4.386942,4.359634,4.370635,0.6263825,0.2523293,114
4.375927,4.34869,4.359722,0.6263251,0.253688,114
4.364938,4.337774,4.348796,0.6262195,0.2541066,114
4.353982,4.326885,4.337733,0.6262636,0.2507126,114
4.343052,4.316023,4.326854,0.6262487,0.2509458,114
4.332149,4.305188,4.315832,0.6262409,0.2472356,114
4.321271,4.294381,4.305367,0.6261736,0.2558192,114
4.310417,4.2836,4.294404,0.6260464,0.2522107,114
4.299597,4.272846,4.283441,0.6260707,0.2479464,114
4.28881,4.262119,4.272946,0.6262257,0.2540189,114
4.278054,4.25142,4.261958,0.6264782,0.2478725,114
4.267321,4.240746,4.251534,0.6266382,0.2543883,114
4.256608,4.2301,4.240412,0.6266484,0.2437786,114
4.245922,4.21948,4.230102,0.6266661,0.2517377,114
4.235266,4.208887,4.219498,0.6267592,0.2521221,114
4.224637,4.19832,4.209012,0.6268375,0.2546761,114
